Airport_ICAO_Code,Airport_Name,State,Easting,Northing
KRFD,Chicago Rockford International Airport,Illinois,4039237.3797912,2397178.12484847
KCIC,Chico Municipal Airport,California,451746.809648017,2048907.12541462
KCIU,Chippewa County International Airport,Michigan,4545678.93888943,3017244.19957885
KEAU,Chippewa Valley Regional Airport,Wisconsin,3777836.59933237,2800619.69596915
KHIB,Chisholm Hibbing Airport,Minnesota,3629489.59671374,3199008.58131189
KCII,Choteau Airport,Montana,1512856.09088696,3270750.73770494
KLUK,Cincinnati Municipal Airport Lunken Field,Ohio,4551569.77599332,1950757.33898862
KCVG,Cincinnati Northern Kentucky International Airport,Kentucky,4524281.10587977,1943070.07406313
KCOS,City of Colorado Springs Municipal Airport,Colorado,2330534.52825479,1908864.64351632
KJVY,Clark Regional Airport,Indiana,4407066.73081656,1847168.01383409
KCLE,Cleveland Hopkins International Airport,Ohio,4832867.90111289,2282049.12314935
KCLK,Clinton Regional Airport,Oklahoma,2962195.01654454,1459689.38181842
KCVN,Clovis Municipal Airport,New-Mexico,2508151.91479063,1310903.48340546
KEWN,Coastal Carolina Regional Airport,North-Carolina,5359250.24885409,1397253.18078173
KRYY,Cobb County-Mc Collum Field,Georgia,4531858.73976931,1256355.30906227
KCOE,Coeur D'Alene - Pappy Boyington Field,Idaho,1003436.11193607,3261947.16135923
KUKL,Coffey County Airport,Kansas,3313456.33629176,1838387.46301565
KCFV,Coffeyville Municipal Airport,Kansas,3330221.53633147,1671127.85284852
KDET,Coleman A. Young Municipal Airport,Michigan,4705830.17337138,2428833.12314523
KMTO,Coles County Memorial Airport,Illinois,4128813.02676034,2003760.28370418
KTKI,Collin County Regional At Mc Kinney Airport,Texas,3218679.10734024,1146540.77454356
KAAO,Colonel James Jabara Airport,Kansas,3149624.89547765,1761248.84068984
KDLS,Columbia Gorge Regional the Dalles Municipal Airport,Washington,527415.367692887,2917684.49425173
KCAE,Columbia Metropolitan Airport,South-Carolina,4912839.92094478,1246531.02512583
KCOU,Columbia Regional Airport,Missouri,3697317.35240799,1910593.0200257
KCSG,Columbus Metropolitan Airport,Georgia,4494593.826543,1060303.87705308
KBAK,Columbus Municipal Airport,Indiana,4389753.46776262,1973163.71619916
KOLU,Columbus Municipal AirportKOLU,Nebraska,3136320.17516685,2287350.9403885
KCON,Concord Municipal Airport,New-Hampshire,5965977.2318661,2547273.4765498
KJQF,Concord Regional Airport,North-Carolina,4957781.05140658,1439454.95490557
KCQM,Cook Municipal Airport,Minnesota,3645871.32081447,3269706.71603045
KCRP,Corpus Christi International Airport,Texas,3118952.6069736,459045.077253646
KCEZ,Cortez Municipal Airport,Colorado,1900505.92413959,1699860.22989856
KCVO,Corvallis Municipal Airport,Oregon,294934.914868092,2743851.28999297
KCBF,Council Bluffs Municipal Airport,Iowa,3309558.07374343,2259808.32361423
KPRX,Cox Field,Texas,3343482.81243007,1206713.26787916
KCRG,Craig Municipal Airport,Florida,4869596.447692,780514.693738362
KCSV,Crossville Memorial Whitson Field,Tennessee,4478595.5794544,1515412.29677157
KVHN,Culberson County Airport,Texas,2321445.54553818,872398.838047944
KEYF,Curtis L Brown Jr Field,North-Carolina,5191005.90153091,1334386.34006419
KCTB,Cut Bank Municipal Airport,Montana,1490078.911384,3398963.55020934
KCGF,Cuyahoga County Airport,Ohio,4872662.59040151,2304473.95543666
KTNT,Dade Collier Training and Transition Airport,Florida,4937204.47678301,224841.708320401
KDHT,Dalhart Municipal Airport,Texas,2566409.46178792,1525061.16040827
KDFW,Dallas Fort Worth International Airport,Texas,3169675.12913832,1109822.14503965
KDAL,Dallas Love Field,Texas,3190065.3959165,1103341.96253902
KDNN,Dalton Municipal Airport,Georgia,4502117.15500852,1350509.1262021
KDXR,Danbury Municipal Airport,Connecticut,5749166.68840484,2276180.79986965
KMSN,Dane County Regional Truax Field,Wisconsin,4012922.85743598,2537843.89679224
KDNL,Daniel Field,Georgia,4812105.85409479,1184362.3117466
KMQI,Dare County Regional Airport,North-Carolina,5506797.71530224,1511043.49048315
KUDG,Darlington County Jetport Airport,South-Carolina,5047466.14367815,1314130.37050018
KDVN,Davenport Municipal Airport,Iowa,3875953.16639809,2311091.15604669
KDWH,David Wayne Hooks Memorial Airport,Texas,3332312.69578796,745735.21560722
KGDV,Dawson Community Airport,Montana,2318926.6306439,3159006.86099268
KMGY,Dayton Wright Brothers Airport,Ohio,4572781.30117949,2019534.60079566
KDAB,Daytona Beach International Airport,Florida,4919563.7129113,634642.44999531
KPDK,DeKalb Peachtree Airport,Georgia,4564338.12999638,1238191.93649446
KDEC,Decatur Airport,Illinois,4064587.77987527,2054495.60504143
KDRT,Del Rio International Airport,Texas,2743807.95742325,659035.403921406
KDED,Deland Municipal Sidney H Taylor Field,Florida,4894848.26311605,620490.047753598
KMIE,Delaware County Johnson Field,Indiana,4444550.53435206,2112809.15061474
KDLZ,Delaware Municipal Airport,Ohio,4694343.41647727,2118176.4729896
KESC,Delta County Airport,Michigan,4258632.00507826,2934013.34832497
KDTO,Denton Municipal Airport,Texas,3152154.67169326,1149524.25562837
KDEN,Denver International Airport,Colorado,2333600.6709643,2058360.89499987
KDSM,Des Moines International Airport,Iowa,3539245.58137686,2299923.12973183
KDTS,Destin Fort Walton Beach Airport,Florida,4326766.37495696,788612.272311404
KDTL,Detroit Lakes Airport - Wething Field,Minnesota,3295859.01608472,3108686.37980503
KDTW,Detroit Metropolitan Wayne County Airport,Michigan,4668215.2019784,2399690.96364004
KDVL,Devils Lake Regional Airport,North-Dakota,2964812.5162412,3317513.40992939
KDIK,Dickinson Theodore Roosevelt Regional Airport,North-Dakota,2538485.00562805,3104238.70500998
KEEN,Dillant Hopkins Airport,New-Hampshire,5881822.05791126,2501672.62999565
KDLN,Dillon Airport,Montana,1470696.2108592,2861019.49382188
KCZT,Dimmit County Airport,Texas,2864636.53775029,552413.554755182
KPTB,Dinwiddie County Airport,Virginia,5308384.86280429,1683463.15026656
KDDC,Dodge City Regional Airport,Kansas,2849086.93333508,1763437.27014787
KGYH,Donaldson Center Airport,South-Carolina,4775201.8606631,1355226.60161649
KSUE,Door County Cherryland Airport,Wisconsin,4222735.57784519,2797206.06455296
KDHN,Dothan Regional Airport,Alabama,4438669.72275726,906129.029212642
KAEG,Double Eagle II Airport,New-Mexico,2101229.66186505,1406917.49186104
KDOV,Dover Air Force Base,Delaware,5531929.22379592,1954455.64717055
KFYV,Drake Field,Arkansas,3483726.67628227,1522692.27695789
KTPL,Draughon Miller Central Texas Regional Airport,Texas,3129180.32334114,884510.394269711
KDUJ,DuBois Regional Airport,Pennsylvania,5156030.15290433,2248030.55060585
KDBQ,Dubuque Regional Airport,Iowa,3862681.02947093,2427765.58720432
KDLH,Duluth International Airport,Minnesota,3700163.76882087,3111391.38678158
KDPA,Dupage Airport,Illinois,4132164.061592,2354764.28929438
KDRO,Durango La Plata County Airport,Colorado,1996213.85618829,1679024.63444749
KPOU,Dutchess County Airport,New-York,5705145.40075917,2313478.79665244
KDYR,Dyersburg Regional Airport,Tennessee,4005356.08508679,1521731.3429278
KEGE,Eagle County Regional Airport,Colorado,2087760.35236553,2027154.03200216
KEYE,Eagle Creek Airpark,Indiana,4346159.10079374,2053939.65983426
KEGV,Eagle River Union Airport,Wisconsin,4020500.49078895,2966952.46514663
KHTO,East Hampton Airport,New-York,5883902.35605737,2216264.62703167
KGGG,East Texas Regional Airport,Texas,3424439.84104596,1043135.43331764
KPDT,Eastern Oregon Regional At Pendleton Airport,Oregon,782124.939152699,2929685.31848091
KIZG,Eastern Slopes Regional Airport,Maine,6026686.8578298,2666487.61775703
KMRB,Eastern Wv Regional Shepherd Field,West-Virginia,5256129.26954215,1992983.97753322
KCLL,Easterwood Field,Texas,3243504.00241601,812567.540421065
KESN,Easton Newnam Field,Maryland,5465897.71027733,1908639.50477957
KMPV,Edward F Knapp State Airport,Vermont,5849900.75478395,2698874.3985028
KEDW,Edwards Air Force Base,California,886921.85237397,1374850.74153219
KVPS,Eglin Air Force Base,Florida,4320863.84114655,799167.154197516
KEMT,El Monte Airport,California,870386.405300751,1265990.48520774
KELP,El Paso International Airport,Texas,2146893.46103756,968576.883355832
KECG,Elizabeth City Regional Airport & Coast Guard Air Station,North-Carolina,5454334.09181484,1557334.43830075
KEKO,Elko Regional Airport,Nevada,1116007.82950579,2196752.44765855
KLUG,Ellington Airport,Tennessee,4290366.16441652,1455478.12844931
KEFD,Ellington Field,Connecticut,3375458.4200725,688360.582329223
KELM,Elmira Corning Regional Airport,New-York,5375818.2804936,2391932.44049428
KELY,Ely Airport Yelland Field,Nevada,1220037.78746538,1978511.27766803
KELO,Ely Municipal Airport,Minnesota,3739903.31715794,3270131.02912448
KSBO,Emanuel County Airport,Georgia,4775913.6736263,1072361.42213663
KWDG,Enid Woodring Regional Airport,Oklahoma,3087206.75116974,1573453.1991296
KEKS,Ennis Big Sky Airport,Montana,1569689.17378028,2863570.9370445
KOMA,Eppley Airfield,Nebraska,3294939.17314812,2266219.80635907
KERI,Erie International Tom Ridge Field,Pennsylvania,5016391.94629321,2380597.84176199
KPRC,Ernest A. Love Field,Arizona,1485260.80307383,1341399.64431887
KCDW,Essex County Airport,New-Jersey,5661649.61822035,2204033.78557143
KEVV,Evansville Regional Airport,Indiana,4210591.31344475,1801406.12552311
KEVM,Eveleth Virginia Municipal Airport,Minnesota,3666776.23161908,3205237.50140002
KORL,Executive Airport,Florida,4889471.23488337,555317.819755009
KLHQ,Fairfield County Airport,Ohio,4744464.4065635,2043236.52130592
KFFZ,Falcon Field,Alabama,1561038.8109218,1183614.21447951
KINL,Falls International Airport,Minnesota,3567717.26461827,3391977.77658262
KFVX,Farmville Regional Airport,Virginia,5206501.20091632,1707365.32252099
KFAY,Fayetteville Regional Grannis Field,North-Carolina,5158044.44999306,1386313.41225277
KSFF,Felts Field,Oregon,948354.989091481,3247051.18101928
KFFM,Fergus Falls Municipal Einar Mickelson Field,Minnesota,3266182.59809118,3022566.66264365
KFIT,Fitchburg Municipal Airport,Massachusetts,5937866.46812365,2450348.57385016
KFLG,Flagstaff Pulliam Airport,Arizona,1567280.54392096,1406020.45274584
KFLO,Florence Regional Airport,South-Carolina,5065665.83091084,1279127.3637788
KGFL,Floyd Bennett Memorial Airport,New-York,5735139.29436799,2568103.55549561
KFCM,Flying Cloud Airport,Minnesota,3561803.87003405,2794658.33243146
KFLD,Fond du Lac County Airport,Wisconsin,4105903.84406948,2633078.57804093
KMRN,Foothills Regional Airport,North-Carolina,4858974.39361517,1497692.74961136
KFOE,Forbes Field,Kansas,3320180.12782026,1929275.21505298
KIMT,Ford Airport,Michigan,4146848.12801282,2949037.7584436
